artifact,task,condition,relation,dose,seed,n_test,n_affected,n_control,affected_delta_mean,control_delta_mean,did,affected_win_rate,control_win_rate,linear_affected_coef,did_label_adjusted,did_label_equal,n_labels_adjusted
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,307,204,82,122,-0.04273782743186486,-0.011120995888333835,-0.031616831543531024,0.23170731707317074,0.29508196721311475,0.004924598153825177,-0.12662263640635546,-0.13631329245932974,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,331,204,82,122,0.07408601890613394,0.03129410212401484,0.0427919167821191,0.7195121951219512,0.7786885245901639,0.04238421441353379,0.14275333460858153,0.16165257048582868,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,353,204,82,122,-0.14051070159710036,0.0700000779794865,-0.21051077957658687,0.24390243902439024,0.4098360655737705,-0.01077251116355793,-0.12286704195372855,-0.1358256859420599,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,379,204,82,122,-0.08076565649087836,-0.039575326363327064,-0.04119033012755129,0.17073170731707318,0.18032786885245902,-0.024204063041760787,-0.06844053762921543,-0.07763190006538762,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,401,204,82,122,-0.053448272232965756,-0.05280494384589742,-0.0006433283870683343,0.35365853658536583,0.29508196721311475,-0.07501865275307479,-0.15885593601298043,-0.17112215730632926,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,421,204,82,122,-0.1423887157494702,0.03703809842528378,-0.17942681417475398,0.18292682926829268,0.2540983606557377,-0.046194732491095625,-0.21022130313920684,-0.23125172240472466,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,443,204,82,122,0.0231209132456925,0.040765230146954295,-0.017644316901261795,0.6829268292682927,0.8032786885245902,-0.003925786250484634,0.006480125251590257,0.008131668437018057,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,467,204,82,122,-0.04607577594678577,-0.0042822128314463845,-0.04179356311533938,0.4268292682926829,0.6147540983606558,-0.0145994842881143,-0.04112999483871398,-0.04661646276954465,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,491,204,82,122,0.23293996743130974,-0.010555756904306955,0.2434957243356167,0.7926829268292683,0.7295081967213115,0.14515009963766923,0.18005291179320876,0.19598890225388516,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,509,204,82,122,-0.014485335091083512,-0.009098029374832,-0.005387305716251513,0.35365853658536583,0.4098360655737705,0.023373078521263135,0.046252370688786154,0.05339192631368406,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,541,204,82,122,-0.02100197434788797,0.001029239204086237,-0.02203121355197421,0.34146341463414637,0.4426229508196721,0.0064140689143296625,-0.009196910409687701,-0.011684507427728454,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,decoy_20x,decoy,20,563,204,82,122,-0.0659529635818993,0.0036704649568581192,-0.06962342853875741,0.32926829268292684,0.5901639344262295,0.00903014540867042,-0.023822166120629318,-0.027272267797781267,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,307,204,82,122,0.0331206006883848,-0.03950223743488065,0.07262283812326545,0.43902439024390244,0.319672131147541,0.05667899776522022,-0.008020644161178375,-0.010171515334686361,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,331,204,82,122,0.0011980277372569603,0.026121248078883674,-0.024923220341626712,0.5487804878048781,0.6475409836065574,0.0038144105337775125,0.016308166388854524,0.019423499091220958,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,353,204,82,122,-0.1212550395781674,0.07308329049436772,-0.19433833007253512,0.24390243902439024,0.4098360655737705,-0.02858182512595342,-0.14541862606561723,-0.15866669042169676,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,379,204,82,122,-0.11391915599020516,-0.03276953885911917,-0.08114961713108598,0.18292682926829268,0.19672131147540983,-0.03602323294486573,-0.08548333941417126,-0.09584217334444324,2
phase0_gin_bbbp_stereo_changed_aff82_d20_lowtrain05,bbbp,exact_20x,exact,20,401,204,82,122,-0.061451345545853055,0.00397336318111811,-0.06542470872697116,0.24390243902439024,0.3114754098360656,-0.014669986659430034,-0.06412873084258347,-0.07021260765949919,2
